organism,D_family,T_midpoint,gamma2_D,excluded_g2,gamma10_D,excluded_g10,gamma100_D,excluded_g100
E. coli,3.0,20400000000000.0,8.00e+00,NO,1.00e+03,NO,1.00e+06,NO
S. cerevisiae,4.0,3290000000000.0,1.60e+01,NO,1.00e+04,NO,1.00e+08,NO
H. sapiens,8.0,9290000.0,2.56e+02,NO,1.00e+08,YES,1.00e+16,YES
C. elegans,5.0,62600000000.0,3.20e+01,NO,1.00e+05,NO,1.00e+10,NO
D. melanogaster,4.0,6520000000.0,1.60e+01,NO,1.00e+04,NO,1.00e+08,NO
A. thaliana,5.0,3580000000.0,3.20e+01,NO,1.00e+05,NO,1.00e+10,YES
D. discoideum,4.0,2190000000000.0,1.60e+01,NO,1.00e+04,NO,1.00e+08,NO
S. pombe,3.0,2190000000000.0,8.00e+00,NO,1.00e+03,NO,1.00e+06,NO
P. aeruginosa,4.0,10200000000000.0,1.60e+01,NO,1.00e+04,NO,1.00e+08,NO
O. sativa,5.5,160000000.0,4.53e+01,NO,3.16e+05,NO,1.00e+11,YES
D. rerio,3.5,1020000000.0,1.13e+01,NO,3.16e+03,NO,1.00e+07,NO
S. solfataricus,3.0,6570000000000.0,8.00e+00,NO,1.00e+03,NO,1.00e+06,NO
M. jannaschii,2.0,17500000000000.0,4.00e+00,NO,1.00e+02,NO,1.00e+04,NO
H. salinarum,3.0,1750000000000.0,8.00e+00,NO,1.00e+03,NO,1.00e+06,NO
F. albicollis,4.0,75000000.0,1.60e+01,NO,1.00e+04,NO,1.00e+08,YES
B. floridae,9.0,400000000.0,5.12e+02,NO,1.00e+09,YES,1.00e+18,YES
